id,applies_to_england_input,applies_to_england_output,reason
3baf9f5b-c430-4af2-b2be-3f70985443b2,true,true,"The document specifically addresses pesticide policy and regulations that are applicable within England, outlining the government's commitments and proposed actions to manage the use of neonicotinoid pesticides in the agricultural sector."
7e755b06-a6b1-42af-a0e5-3cf664ca0c7b,true,true,"The Environment Agency operates in England and is responsible for issuing environmental permits under the Industrial Emissions Directive. The permit mentioned pertains to an installation in England, specifically Burscough Transfer Station."
c1d9c22f-79c5-4bdd-b4bb-1ce1188f1fef,true,true,"This document pertains to the Environment Agency's public consultation processes, which specifically govern environmental regulations and permits in England."
dd43186e-e173-4f48-9b9f-4899d89c902b,true,true,"This document pertains to educational data specifically relating to key stages and post-16 education, which are part of the education system in England. Key Stage 4 and 16 to 18 study statistics are relevant to England's education policies and performance evaluations."
ddb5c3ff-9bd0-4fad-905d-867d4cfb7316,true,true,"This document pertains to an environmental permit application regulated by the Environment Agency, which operates in England and Wales. Specifically, the regulations mentioned are applicable to England."
fecb5f11-219c-458f-aff4-85da6769a7aa,true,true,The document specifically mentions updates to factsheets for England and refers to integrated care boards (ICBs) and care homes within the context of England's health services.
c5faf22a-658d-4887-af74-614caab1dd98,true,true,"This document discusses outcomes statistics for children in need and those looked after by local authorities, which are responsibilities that fall under the jurisdiction of English local authorities. Therefore, it applies to England."
30743951-d02c-4b8b-83e3-d63e570120a0,true,true,"The Environment Agency is an executive agency of the government of England responsible for environmental protection and regulation, and the Industrial Emissions Directive is implemented in England through their permit system."
8e8f0c01-8f95-42b8-a1a3-ac8ac6862638,true,true,"The Environment Agency operates within England, overseeing environmental regulations and permitting. Hence, the consultation process described applies specifically to England."
b2f34319-d2bf-4f39-aa6e-962a0ee45a49,true,true,"The guidance specifically addresses joint targeted area inspections (JTAIs) of the multi-agency response to domestic abuse victims in local authority areas, clearly stating it is applicable to England. Additionally, it references the Domestic Abuse Act 2021, which is legislation specific to England."
9f8efff8-18bd-42d7-a41e-06e2117093a0,true,true,"The document pertains to the regulatory judgment of Fairhive Homes Limited, a registered provider of social housing operating in England, specifically in Buckinghamshire, Oxfordshire, and South Northamptonshire. Since it involves compliance with standards set by the regulatory body for social housing, which primarily oversees landlords in England, it applies to England."
fe5c2acb-6152-4f91-a0bd-82312932407b,true,true,"The document pertains to the Crown Prosecution Service (CPS) and its policies, which operate within England and Wales. It outlines actions and improvements related to the handling of stalking cases by the CPS, making it applicable to England."
584b707e-26ea-42a7-9dcd-82f2be860a3f,true,true,"The application pertains to an environmental permit under the Environmental Permitting (England and Wales) Regulations 2016, indicating it is relevant to England."
4f678087-b0b7-401c-9ce4-c897adf507ff,true,true,"The gas consumption statistics pertain to energy usage data that is relevant across the UK, including England. Census and energy consumption data typically cover all nations of the UK, ensuring applicability to England for analysis and planning."
206cf7e9-1c06-4234-ba93-539c26f0ef77,true,true,"The document specifically states that the Social Housing Decarbonisation Fund scheme covers England only, indicating that the measures and data discussed apply solely to England."
7542c060-bb2c-4d95-bb2b-965a449b3261,true,true,"The document pertains to an environmental permit application regulated by the Environment Agency under the Environmental Permitting (England and Wales) Regulations 2016, specifically indicating a facility located in Hampshire, England."
cd317cd2-6461-4031-a4a5-4b8ee7e885d7,true,true,"The document specifically mentions data presented at England, regional, and upper tier local authority level, indicating its relevance and application within England."
5d371bf0-a35a-4257-9ce6-21cabd43f4a0,true,false,"The document is written in Welsh and references services and contact details for the Land Registry in Wales, indicating that it specifically applies to Wales and not England."
0f5aaab2-bc46-4f74-aa0e-6ad80445a27d,true,true,"The document pertains to an environmental permit application under the Environmental Permitting (England and Wales) Regulations 2016, explicitly indicating that it applies to England."
ae8f4c7f-f5d6-4846-94d6-d79765ea2655,true,true,"The report specifically discusses statistics and court cases related to civil county courts in England and Wales, indicating its direct relevance to the justice system in England."
9fd9f817-8fc6-415b-9a4d-1b2442e8eba5,true,true,"The document discusses the legal aid scheme administered by the Legal Aid Agency for England and Wales, indicating its direct applicability to England."
2557197d-b197-483e-9d80-74271801a30f,true,true,"This document pertains to an application for an environmental permit in England under the Environmental Permitting (England and Wales) Regulations 2016, specifically concerning a sewage treatment plant operated by Winchester City Council in Hampshire."
3399c518-faa3-43c6-aad8-e18bcb15b4e2,true,true,"This document pertains to the Environment Agency, which is an executive agency of the UK government responsible for environment protection and regulation in England. Therefore, it explicitly applies to England."
dba21d7d-a10b-4f0e-a388-1711ecad716c,true,true,"The document pertains to the Regulation of Social Housing, which is governed by legislation specific to England. Hence, it is relevant for landlords and tenants in England."
a2ac971e-78e8-4670-a85e-764508b7a16b,false,false,"The document specifically pertains to the Police Ombudsman for Northern Ireland, indicating that it only deals with issues related to police conduct in Northern Ireland, thus not applicable to England or any other part of the UK."
19e175ea-94ac-4624-9a30-3c42c52a56ed,true,true,"The Environment Agency operates within England and is responsible for environmental regulation and management, including waste and water discharge activities. Therefore, this document pertains to England."
01d508d6-1be3-436b-892a-f0d94909c4b6,true,true,"This document applies to England as it relates to the production of official statistics, a practice overseen by the Office for National Statistics (ONS), which operates within England and ensures statistical outputs are free from political influence across the UK."
ac6c8319-afc6-4823-9b98-17174f7be84c,true,true,"This document pertains to the Environment Agency, which is an executive agency of the UK Government solely responsible for environmental protection and regulation in England. Therefore, it applies to England."
579a22d2-845d-40b6-8df6-23122af21621,true,true,"The document discusses low traffic neighbourhood (LTN) schemes that have been implemented specifically in areas across England since March 2020, indicating that it is relevant to England."
d772e034-22fb-4344-b8d2-da66738d12ce,true,true,"The document pertains to an application for an environmental permit under the Environmental Permitting (England and Wales) Regulations, which specifically apply to England."
91c949ef-deb1-4a19-b026-b2afae8b1f09,false,true,"This statement reflects the fundamental principles of statistical production upheld by the UK government, including England, where official statistics must be impartial and free from political influence to maintain public trust and reliability."
020e64e8-d1ae-40a6-bae6-24c4345c5d8b,true,true,"The document pertains to the planning process for a new prison and associated works, which are regulated under England's planning laws. Therefore, it applies specifically to England."
67fd55a2-8be5-4f94-bbe5-6dd566cf7b1f,true,true,"The document specifically addresses management plans for Protected Landscapes such as National Parks and Areas of Outstanding Natural Beauty (AONBs), which are designated and governed within England. Therefore, it clearly applies to England."
cd3d83f9-65da-481a-afc9-b29aca85c573,true,true,"The document specifically discusses statistics related to the youth justice system in England and Wales, indicating that it directly pertains to the regulations, data collection, and analysis relevant to England."
28f931a0-ebea-4d2a-bde5-2034aa0ad94f,true,true,"This application pertains to the Environmental Permitting (England and Wales) Regulations 2016, which specifically includes provisions relevant to England, thereby establishing its applicability to this region."
43c26857-371d-4119-972b-81f3e697c9d1,true,true,"This document relates to the Environment Agency, which is the regulatory body responsible for environmental protection in England. Its functions regarding public consultation on permits and applications are applicable within England."
