id,applies_to_nation_input,applies_to_nation_output,reason
01c3b469-790a-4108-b1f7-4fe31446d275,false,false,"This document pertains to teacher misconduct proceedings specifically under the Teachers’ Disciplinary (England) Regulations 2012, which apply only to England and not to Scotland."
0079785b-6034-4194-9e96-bae766909140,false,false,"This document pertains to an environmental permit issued by the Environment Agency, which regulates environmental matters in England. Scotland has its own regulatory body, the Scottish Environment Protection Agency (SEPA), and therefore this specific document does not apply to Scotland."
0148c09d-ab20-4695-b141-746901218814,false,false,"This document pertains to financial reserves of fire and rescue authorities predominantly in England, which do not apply to Scotland, as fire services are structured differently under separate legislation."
0202dcd1-328f-4a59-b40c-4ea258fb467a,false,false,"This document pertains to housing associations regulated in England and the specific findings of the Housing Ombudsman, which does not apply to Scotland, where housing matters are overseen by different authorities."
031ff4b5-d024-4977-8897-a1e74f63cc14,false,false,"The document specifically addresses local governance issues and interventions that pertain to Thurrock Council in England, and does not apply to Scotland."
028f6aa5-5458-4a94-a132-4bf270b4a89e,false,false,"This document pertains specifically to England and Wales under the Environmental Permitting (England and Wales) Regulations 2016, and therefore does not apply to Scotland."
020c3985-a017-4ae2-8930-7403eaf15382,false,true,"This document applies to Scotland as it outlines fees and authorisations related to veterinary products and their regulation, which falls under the Animal Health and Veterinary Medicines framework applicable across the UK, including Scotland."
03a4398f-bdd9-4361-b9b0-4defd05f8f0f,false,false,"This document specifically pertains to the civil justice system in England and Wales, and does not apply to Scotland. Scotland has its own legal system and civil justice processes, which are distinct from those of England and Wales."
0037b442-e04e-4cae-a69b-166c49c39ce6,false,false,"This document primarily pertains to the NHS Abdominal Aortic Aneurysm Screening Programme and its operational guidelines, which are specific to England and do not extend to Scotland, where the healthcare system operates under different regulations and frameworks."
0242af8e-dfb1-470a-839d-98b8d4f13fa3,false,false,"This document pertains specifically to environmental permits under the Environmental Permitting (England and Wales) Regulations 2016, which do not apply to Scotland as it has its own separate regulatory framework for environmental matters."
02cdc0b9-ca20-4ac3-8d24-8eb8b8d9b75d,false,false,"The National Security Act 2023 is specific to England and Wales, and does not apply to Scotland or Northern Ireland, which have their own legal systems and procedures for search warrants."
0281ca1c-fa4e-4f70-901e-1542a721011f,false,false,"This document pertains to careers guidance specifically in England as it references the Department for Education (DfE) and Ofsted, which are English governmental bodies. Therefore, it does not apply to Scotland."
02f5266e-016d-46e2-b8d1-f99c39827007,false,false,"The document specifically focuses on domestic abuse in England and Wales, indicating it does not apply to Scotland, which has its own legal framework and data reporting on domestic abuse issues."
011cc4d2-375e-4a4d-a618-b4612c185546,false,false,"This document pertains to an environmental permit surrender issued by the Environment Agency, which operates in England. The Environmental Agency's regulations do not apply to Scotland, where separate environmental governance exists."
00e63766-c6d8-403c-9fb4-30ae07f24b5d,false,false,"This document specifically pertains to an environmental permit application under the Environmental Permitting (England and Wales) Regulations 2016, which does not apply in Scotland. Scotland has its own separate environmental regulatory framework."
04c6fe99-5c80-40d8-b3ae-0aa88d138285,false,false,"The document pertains specifically to the Pubs Code Adjudicator, which operates under legislation applicable to England and Wales, and does not apply to Scotland."
01208b82-254a-4157-968f-5f6b15090098,false,false,"This document specifically pertains to safety in custody statistics for prisons in England and Wales. It does not apply to Scotland, which has its own separate prison system and statistical reporting."
